,times,counts,rates
112,-22,0,1.4340552897375904e-09
113,-21,0,4.0651126472458744e-08
114,-20,0,6.581254419033879e-07
115,-19,0,7.329905468816969e-06
116,-18,0,6.169575614223753e-05
117,-17,0,0.00041429108869330797
118,-16,0,0.002291117329515455
119,-15,0,0.010601905215050084
120,-14,0,0.04137502914163951
121,-13,0,0.1370079455881654
122,-12,0,0.38724375456715066
123,-11,0,0.93970082538865
124,-10,0,1.9701923062701399
125,-9,0,3.5977716834636375
126,-8,0,5.7858141657679445
127,-7,0,8.316884013016564
128,-6,0,10.88543153227718
129,-5,0,13.240138450689038
0,-4,1,15.260856967934837
1,-3,3,16.931017601433688
2,-2,6,18.260868517716442
3,-1,7,19.231479851259596
4,0,9,19.790916488456066
5,1,10,19.901370957649476
6,2,15,19.608953958693174
7,3,14,19.077524059562897
8,4,11,18.53845782505926
9,5,21,18.183583245911613
10,6,20,18.086564918345324
11,7,21,18.199579075555373
12,8,16,18.40221429985397
13,9,21,18.567104793415503
14,10,20,18.615983247564362
15,11,13,18.534840907471548
16,12,19,18.34091032502521
17,13,20,18.039657770582178
18,14,19,17.618619318997073
19,15,18,17.089143110374472
20,16,20,16.535176588401107
21,17,18,16.106621754958176
22,18,13,15.948250290913624
23,19,22,16.132061089005376
24,20,23,16.65260602378907
25,21,12,17.465953481957037
26,22,21,18.520369598895446
27,23,12,19.763719637299253
28,24,19,21.14198383742602
29,25,16,22.595433938084177
30,26,15,24.052518974500007
31,27,17,25.43292965527217
32,28,22,26.66807531797152
33,29,17,27.71506318829466
34,30,17,28.53352379463411
35,31,21,29.053388614112862
36,32,28,29.20377698491914
37,33,24,29.006145850154365
38,34,22,28.63708505365184
39,35,24,28.377335078092944
40,36,27,28.476532522087982
41,37,31,29.053991779966253
42,38,31,30.122389934498187
43,39,33,31.676583593930626
44,40,23,33.690617248481196
45,41,20,35.97170642723685
46,42,38,38.05052139218938
47,43,33,39.327813406912476
48,44,29,39.42226576268126
49,45,23,38.41386734251911
50,46,26,36.79137433029799
51,47,38,35.20821878557092
52,48,42,34.24524813548241
53,49,36,34.25669322541797
54,50,40,35.28912471878478
55,51,43,37.087447722616304
56,52,33,39.20644772427043
57,53,43,41.1799517094385
58,54,25,42.65750149893835
59,55,29,43.46637358486045
60,56,44,43.62563057331832
61,57,34,43.3268840605478
62,58,36,42.85034836573933
63,59,42,42.427043001837966
64,60,41,42.13788511923205
65,61,47,41.918295241985014
66,62,40,41.649686229570534
67,63,42,41.27414223092198
68,64,46,40.84955881913427
69,65,35,40.47845448137195
70,66,39,40.162913318874615
71,67,51,39.74550719280463
72,68,44,39.01585986204684
73,69,41,37.88812754171345
74,70,37,36.49162669650171
75,71,36,35.098340426655604
76,72,39,33.952890892057304
77,73,50,33.15109305652866
78,74,40,32.646392119720005
79,75,36,32.3371557278685
80,76,38,32.144048299488
81,77,36,32.03220963359914
82,78,29,32.00059127029562
83,79,42,32.07773930217897
84,80,33,32.3067717018197
85,81,27,32.68113965433861
86,82,33,33.08170364014104
87,83,42,33.32240540177707
88,84,32,33.29223866400761
89,85,21,33.03077617915332
90,86,37,32.637966053977614
91,87,27,32.116781824401755
92,88,43,31.29659117749538
93,89,34,29.874784949345873
94,90,26,27.542017442088206
95,91,37,24.14897638704306
96,92,31,19.844188641529364
97,93,31,15.090390425123719
98,94,31,10.517976906020657
99,95,23,6.680386401126984
100,96,29,3.8579721541405254
101,97,37,2.0258996312309208
102,98,24,0.9675671784555058
103,99,18,0.41994749895894634
104,100,21,0.165294498902969
105,101,6,0.05879152184120062
106,102,9,0.018778018344900217
107,103,5,0.00532446378975581
108,104,3,0.0013112754088219557
130,105,0,0.0002695875949345631
109,106,1,4.340649942830742e-05
110,107,1,4.974241838161456e-06
131,108,0,3.482816830355481e-07
132,109,0,1.1024182029459172e-08
133,110,0,5.714635086779975e-11
