,times,counts,rates
105,-21,0,1.8001454524430916e-08
106,-20,0,3.6560289527522134e-07
107,-19,0,4.664983349815549e-06
108,-18,0,4.361506178176541e-05
109,-17,0,0.0003202290612161653
110,-16,0,0.001920407873158197
111,-15,0,0.009587477886891153
112,-14,0,0.04018222882595526
113,-13,0,0.1422181955636342
114,-12,0,0.427452288655919
115,-11,0,1.096872954494584
116,-10,0,2.416475614471478
117,-9,0,4.601239419258807
118,-8,0,7.6397299376252334
119,-7,0,11.190836329225792
120,-6,0,14.669399660497389
121,-5,0,17.474793693688067
122,-4,0,19.195249175400832
0,-3,5,19.688585793323647
1,-2,6,19.06937918196218
2,-1,11,17.65373583074602
3,0,9,15.866944184541508
4,1,15,14.12230791081664
5,2,18,12.721232839298834
6,3,21,11.815432851144035
7,4,14,11.415693327416959
8,5,20,11.418674590035204
9,6,15,11.653662400153015
10,7,18,11.951956874688802
11,8,10,12.215695102589763
12,9,12,12.445546604256132
13,10,13,12.692156634314514
14,11,9,12.952840035209043
15,12,16,13.107024047333933
16,13,16,12.964796991866328
17,14,9,12.394305138016765
18,15,10,11.424436421164101
19,16,14,10.255607956014348
20,17,9,9.18831267539236
21,18,14,8.516273800280189
22,19,17,8.424659457659036
23,20,6,8.924926260755157
24,21,21,9.857576952552607
25,22,13,10.966176697788736
26,23,5,11.987853655740798
27,24,7,12.694825669737925
28,25,8,12.893728555138416
29,26,11,12.450225177878776
30,27,11,11.362560422977019
31,28,9,9.813532025372215
32,29,8,8.123120981429693
33,30,15,6.623371446351453
34,31,10,5.548568938408517
35,32,15,4.997983533987208
36,33,14,4.958071774787727
37,34,9,5.346990279111259
38,35,12,6.059307795452378
39,36,6,6.99932070489045
40,37,5,8.086248304947134
41,38,6,9.223541228586654
42,39,3,10.264164493275999
43,40,11,11.026867878810926
44,41,4,11.3711130097005
45,42,6,11.266933848687234
46,43,6,10.798155967171878
47,44,9,10.107079579967262
48,45,10,9.332590942182165
49,46,10,8.578023326064177
50,47,12,7.910804112229259
51,48,11,7.3742622490990435
52,49,8,6.992201035256913
53,50,12,6.767288031569605
54,51,10,6.688613743621657
55,52,9,6.751507486074004
56,53,8,6.973440957321598
57,54,7,7.3909057356221055
58,55,9,8.039032227375325
59,56,6,8.924447539109988
60,57,9,9.997057066015783
61,58,6,11.127763501572387
62,59,7,12.114298797083594
63,60,8,12.739528206662861
64,61,8,12.86871738605572
65,62,7,12.52174333973324
66,63,7,11.862311553287775
67,64,10,11.118231184002795
68,65,14,10.499150248926686
69,66,13,10.152550625622617
70,67,11,10.142691896416093
71,68,12,10.42387012111499
72,69,14,10.822775894235807
73,70,10,11.083296717381566
74,71,13,10.985204299670961
75,72,9,10.4586596278891
76,73,7,9.601014023414878
77,74,9,8.592716152185284
78,75,13,7.597220327488007
79,76,13,6.715832758040756
80,77,12,5.991387358337398
81,78,9,5.424760117839748
82,79,10,4.994624551985605
83,80,12,4.678194018196659
84,81,5,4.458140451852867
85,82,5,4.314808198886261
86,83,12,4.220153811534047
87,84,5,4.138882245475548
88,85,4,4.029305541515289
89,86,6,3.842523672972769
90,87,4,3.532855012251744
91,88,7,3.0880139547956267
92,89,4,2.553216942635122
93,90,2,2.0134210362995417
94,91,3,1.5450225857055224
95,92,6,1.1818598712244492
96,93,5,0.9155477512807327
97,94,3,0.7164336726512629
98,95,5,0.5550313512163945
123,96,0,0.41330471246179157
99,97,1,0.28622450346260303
100,98,4,0.1781735945267031
124,99,0,0.09640982425085454
125,100,0,0.043905139709385636
101,101,2,0.01628550772629665
126,102,0,0.004736860519622878
102,103,1,0.001026252859949907
103,104,1,0.0001530375285974473
127,105,0,1.3704285767781325e-05
128,106,0,5.546588063767342e-07
129,107,0,3.794112372546043e-09
