,times,counts,rates
110,-21,0,1.5904314659844902e-08
111,-20,0,3.846888566760089e-07
112,-19,0,5.054510073891061e-06
113,-18,0,4.778388837667162e-05
114,-17,0,0.0003524327638649461
115,-16,0,0.0021110735746271017
116,-15,0,0.010489224866779407
117,-14,0,0.04365607647702318
118,-13,0,0.15317610810016566
119,-12,0,0.455730846562086
120,-11,0,1.155936875529524
121,-10,0,2.5125766629010977
122,-9,0,4.708327623604121
123,-8,0,7.669645219429598
124,-7,0,10.991642554384224
125,-6,0,14.09018891697408
126,-5,0,16.495000044578045
127,-4,0,18.050885229999707
0,-3,4,18.905318673073435
1,-2,9,19.36339898339476
2,-1,8,19.732810036767567
3,0,13,20.208194095219294
4,1,13,20.82593858515043
5,2,18,21.521089132615977
6,3,19,22.235864118515735
7,4,11,22.961387476037697
8,5,18,23.675793338591003
9,6,21,24.27145803347632
10,7,25,24.56289472856068
11,8,16,24.365752615006755
12,9,22,23.586480174420473
13,10,23,22.285973171055634
14,11,21,20.688897035475943
15,12,24,19.10180128478284
16,13,19,17.768575024604246
17,14,30,16.779341823264293
18,15,28,16.102677321576753
19,16,22,15.677460924662913
20,17,17,15.469642397780234
21,18,20,15.477369820089693
22,19,22,15.712833963949112
23,20,13,16.175218009391948
24,21,25,16.822763220864328
25,22,8,17.561532845694373
26,23,22,18.27327335750259
27,24,18,18.87659521228956
28,25,10,19.35707988812932
29,26,16,19.714839486413272
30,27,19,19.883550522878167
31,28,19,19.720251634544635
32,29,16,19.090734427580173
33,30,16,17.990353173060484
34,31,25,16.61407536241847
35,32,12,15.315991544950226
36,33,14,14.46686257559544
37,34,30,14.287026508313676
38,35,16,14.747286322283903
39,36,20,15.596362815710584
40,37,27,16.506649144684125
41,38,8,17.23858883690157
42,39,11,17.698436186904676
43,40,13,17.8818215581277
44,41,18,17.818654861747753
45,42,22,17.585913709281716
46,43,9,17.328516846622982
47,44,17,17.221580318936244
48,45,18,17.393927150236824
49,46,23,17.869071010258953
50,47,12,18.546869345813935
51,48,20,19.223220050662075
52,49,18,19.65253316441439
53,50,15,19.652522259214138
54,51,21,19.208215009144038
55,52,11,18.49899478086675
56,53,17,17.809516694542282
57,54,23,17.3805377102649
58,55,17,17.313476440167683
59,56,26,17.583383322870173
60,57,21,18.09677703845625
61,58,9,18.706799564756697
62,59,21,19.204277475312885
63,60,21,19.37504387441332
64,61,19,19.122066741929025
65,62,12,18.527857359281462
66,63,15,17.78149734997319
67,64,20,17.052634311319828
68,65,26,16.431549645605976
69,66,18,15.943065118833946
70,67,14,15.569310924877072
71,68,21,15.258658289835187
72,69,20,14.941841806193908
73,70,15,14.555598760229428
74,71,20,14.050773366744886
75,72,11,13.379948742335426
76,73,18,12.494615929332944
77,74,18,11.382884916481265
78,75,15,10.12461297261299
79,76,15,8.899303549450547
80,77,10,7.921831766971399
81,78,14,7.351590091102752
82,79,16,7.238867373045872
83,80,15,7.533899882746748
84,81,14,8.13245197431668
85,82,6,8.910003859853633
86,83,7,9.72688728780691
87,84,9,10.437738885765782
88,85,10,10.942419830324134
89,86,5,11.252070256620557
90,87,11,11.482839628871908
91,88,2,11.730169169378046
92,89,13,11.915220048998927
93,90,14,11.767502615924535
94,91,13,10.990971532979636
95,92,7,9.483142520966334
96,93,6,7.435490569753225
97,94,10,5.247275295578459
98,95,13,3.3226964482202037
99,96,11,1.8960710241317758
100,97,13,0.9880331594823901
101,98,11,0.48044981606994874
102,99,13,0.22289759598235875
103,100,10,0.09929615920796993
104,101,2,0.04161241651628975
105,102,3,0.01573556011052498
128,103,0,0.005105995997103046
106,104,1,0.001346808670280255
107,105,1,0.00027114772514684715
108,106,2,3.826885839382389e-05
129,107,0,3.299431152413107e-06
130,108,0,1.302467166568185e-07
131,109,0,8.425070770954798e-10
