,times,counts,rates
57,-22,0,4.18571039337354e-10
58,-21,0,7.907487887082059e-09
59,-20,0,1.1875266085570339e-07
60,-19,0,1.6168099800889039e-06
61,-18,0,1.6846354307117395e-05
62,-17,0,0.00013413989545751572
63,-16,0,0.0008541269674358451
64,-15,0,0.004502005154726966
65,-14,0,0.01995948379483342
66,-13,0,0.07502494232830122
67,-12,0,0.24055672387161092
68,-11,0,0.6614873246105105
69,-10,0,1.5675882630751254
70,-9,0,3.2168410496458453
71,-8,0,5.746476216673246
72,-7,0,8.994539756328846
73,-6,0,12.44779190687992
74,-5,0,15.432853144748364
0,-4,1,17.450660072233767
75,-3,0,18.37669910477331
1,-2,3,18.378643639215255
2,-1,12,17.70296842263708
3,0,12,16.553594641967106
4,1,11,15.097827628656459
5,2,13,13.506030995023298
6,3,20,11.966801251597413
7,4,12,10.672402085445407
8,5,18,9.777308972776888
9,6,16,9.34321932496193
10,7,17,9.306101232133846
11,8,15,9.496590582686858
12,9,17,9.706413370278888
13,10,9,9.763489626716993
14,11,8,9.58424812553406
15,12,11,9.190761957658493
16,13,9,8.692649367116246
17,14,11,8.246153594109483
18,15,10,8.011054919438113
19,16,9,8.113238980353655
20,17,12,8.600489134713486
21,18,10,9.39197801600803
22,19,7,10.264210264617772
23,20,12,10.917100493202375
24,21,8,11.09734050755886
25,22,4,10.702071529100303
26,23,7,9.805059302972674
27,24,12,8.601309455957297
28,25,9,7.303657504042985
29,26,9,6.048292300223347
30,27,11,4.871411477284895
31,28,17,3.7668806247127455
32,29,9,2.7546587522113275
33,30,5,1.8892623173604661
34,31,4,1.2197390519388194
35,32,11,0.7587244161869746
36,33,8,0.485705715160824
37,34,1,0.3688481723302427
38,35,9,0.3835667924728926
39,36,1,0.5149258541442122
40,37,3,0.7405920988566537
41,38,1,1.0072030067651798
42,39,1,1.2283901814757996
43,40,1,1.3222598850366307
76,41,0,1.2650694702223337
77,42,0,1.1102576165106053
78,43,0,0.9519705868536148
44,44,2,0.8672774317893649
45,45,1,0.8815022265232465
46,46,2,0.9664732281442693
47,47,2,1.0579722886154566
79,48,0,1.0843212950695644
48,49,1,1.0022664840550701
80,50,0,0.8220756512220322
49,51,1,0.5988644265255195
50,52,1,0.3947251805471692
81,53,0,0.2445384868612661
51,54,3,0.149595674665973
52,55,1,0.09316671095415636
53,56,1,0.0579912032076077
54,57,1,0.03404949130293599
82,58,0,0.01766333345111742
83,59,0,0.007641353545925784
84,60,0,0.0026153020184350334
85,61,0,0.0006684630799473951
55,62,1,0.0001179924155212533
86,63,0,1.2629472459473805e-05
87,64,0,6.217949464810586e-07
88,65,0,5.08724928766331e-09
