times,counts
-3,1
-2,6
-1,5
0,11
1,8
2,20
3,16
4,16
5,20
6,14
7,21
8,18
9,24
10,7
11,14
12,13
13,9
14,10
15,7
16,17
17,16
18,11
19,16
20,12
21,10
22,8
23,20
24,11
25,13
26,7
27,10
28,7
29,9
30,10
31,4
32,7
33,10
34,4
35,7
36,7
37,10
38,11
39,8
40,18
41,13
42,4
43,11
44,12
45,9
46,12
47,8
48,6
49,9
50,6
51,6
52,9
53,6
54,4
55,10
56,3
57,13
58,8
59,7
60,10
61,5
62,11
63,9
64,9
65,6
66,12
67,5
68,6
69,8
70,6
71,9
72,3
73,6
74,7
75,7
76,7
77,12
78,7
79,7
80,6
81,7
82,3
83,5
84,7
85,4
86,4
87,9
88,4
89,8
90,5
91,7
92,5
93,4
94,10
95,4
96,8
97,8
98,7
99,9
100,3
101,2
102,4
103,1
105,1
