times,counts
0,18
1,16
2,15
3,13
4,15
5,12
6,17
7,11
8,21
9,18
10,21
11,14
12,10
13,15
14,14
15,15
16,17
17,19
18,9
19,17
20,16
21,18
22,15
23,14
24,16
25,9
26,10
27,9
28,13
29,6
30,11
31,6
32,7
33,6
34,10
35,7
36,7
37,9
38,5
39,9
40,8
41,3
42,6
43,5
44,7
45,5
46,2
47,5
48,6
49,6
50,3
51,6
52,7
53,4
54,3
55,4
56,2
57,2
58,1
59,2
60,3
61,2
62,2
63,5
64,2
65,5
66,2
67,3
68,3
69,2
70,2
71,2
72,2
73,3
75,1
76,7
77,4
78,2
79,6
80,4
81,2
82,1
83,1
84,1
85,3
86,4
87,8
88,1
90,3
91,2
92,1
94,1
95,2
96,3
97,3
98,2
99,1
100,2
