times,counts
0,16
1,15
2,13
3,13
4,11
5,21
6,19
7,12
8,17
9,14
10,18
11,12
12,11
13,14
14,12
15,19
16,14
17,13
18,19
19,17
20,13
21,25
22,17
23,10
24,21
25,19
26,25
27,19
28,26
29,26
30,21
31,20
32,12
33,16
34,17
35,19
36,23
37,15
38,21
39,18
40,16
41,20
42,18
43,5
44,14
45,12
46,14
47,15
48,19
49,15
50,23
51,13
52,17
53,21
54,28
55,13
56,9
57,23
58,19
59,13
60,15
61,10
62,10
63,11
64,10
65,15
66,7
67,12
68,14
69,6
70,7
71,6
72,12
73,7
74,10
75,8
76,10
77,12
78,7
79,11
80,12
81,8
82,9
83,13
84,9
85,5
86,7
87,8
88,11
89,13
90,10
91,7
92,11
93,11
94,9
95,9
96,9
97,10
98,9
99,7
100,3
