times,counts
0,17
1,16
2,13
3,10
4,19
5,18
6,17
7,12
8,23
9,18
10,16
11,13
12,15
13,8
14,16
15,13
16,11
17,11
18,20
19,16
20,20
21,17
22,17
23,18
24,19
25,14
26,14
27,20
28,17
29,24
30,21
31,16
32,24
33,25
34,19
35,28
36,18
37,24
38,25
39,22
40,21
41,22
42,26
43,21
44,27
45,20
46,21
47,17
48,23
49,20
50,26
51,21
52,25
53,24
54,18
55,23
56,29
57,25
58,27
59,25
60,27
61,23
62,30
63,23
64,29
65,33
66,36
67,23
68,34
69,40
70,29
71,31
72,28
73,33
74,40
75,35
76,38
77,41
78,33
79,44
80,36
81,44
82,36
83,43
84,49
85,34
86,46
87,40
88,48
89,43
90,46
91,29
92,36
93,44
94,39
95,35
96,37
97,37
98,37
99,39
100,44
