times,counts
-3,4
-2,7
-1,3
0,11
1,10
2,10
3,14
4,13
5,15
6,17
7,14
8,8
9,20
10,8
11,24
12,16
13,14
14,13
15,9
16,10
17,16
18,13
19,11
20,11
21,6
22,8
23,6
24,15
25,13
26,8
27,10
28,14
29,7
30,8
31,10
32,8
33,17
34,19
35,12
36,14
37,12
38,9
39,11
40,10
41,15
42,8
43,7
44,14
45,11
46,12
47,11
48,10
49,12
50,5
51,18
52,13
53,13
54,7
55,11
56,8
57,13
58,6
59,9
60,14
61,11
62,6
63,11
64,6
65,5
66,7
67,13
68,7
69,6
70,9
71,5
72,6
73,7
74,4
75,5
76,6
77,4
78,9
79,5
80,4
82,4
84,1
85,3
86,2
87,3
89,2
91,1
92,2
93,2
94,2
95,3
96,2
97,1
98,1
99,1
100,1
103,2
