times,counts
0,17
1,15
2,20
3,12
4,17
5,15
6,19
7,19
8,19
9,12
10,11
11,16
12,20
13,20
14,15
15,14
16,14
17,12
18,24
19,12
20,26
21,16
22,18
23,19
24,18
25,24
26,22
27,18
28,15
29,23
30,22
31,17
32,21
33,19
34,19
35,26
36,22
37,24
38,24
39,18
40,28
41,29
42,25
43,28
44,26
45,27
46,18
47,27
48,28
49,22
50,25
51,33
52,24
53,23
54,28
55,25
56,22
57,22
58,31
59,25
60,20
61,18
62,20
63,18
64,19
65,23
66,25
67,22
68,24
69,26
70,23
71,14
72,16
73,28
74,21
75,20
76,22
77,18
78,21
79,23
80,25
81,32
82,25
83,21
84,25
85,31
86,24
87,27
88,24
89,27
90,17
91,28
92,23
93,27
94,19
95,29
96,27
97,21
98,23
99,30
100,32
