times,counts
-3,2
-2,3
-1,6
0,10
1,16
2,14
3,20
4,17
5,26
6,17
7,28
8,24
9,28
10,23
11,28
12,24
13,33
14,26
15,23
16,28
17,31
18,30
19,27
20,36
21,30
22,34
23,36
24,33
25,37
26,29
27,36
28,34
29,37
30,42
31,39
32,41
33,44
34,39
35,40
36,48
37,44
38,49
39,43
40,53
41,50
42,41
43,54
44,41
45,50
46,48
47,52
48,46
49,52
50,50
51,42
52,63
53,45
54,57
55,52
56,50
57,42
58,37
59,42
60,52
61,44
62,41
63,35
64,53
65,52
66,41
67,48
68,50
69,42
70,41
71,43
72,37
73,39
74,43
75,56
76,41
77,59
78,43
79,52
80,69
81,50
82,53
83,54
84,58
85,52
86,59
87,53
88,57
89,62
90,51
91,69
92,66
93,60
94,65
95,51
96,69
97,61
98,58
99,40
100,19
101,19
102,11
103,8
104,3
105,3
108,2
111,1
