times,counts
0,23
1,13
2,20
3,20
4,20
5,13
6,21
7,16
8,16
9,22
10,16
11,25
12,26
13,17
14,22
15,24
16,28
17,16
18,27
19,15
20,26
21,20
22,21
23,24
24,25
25,25
26,32
27,32
28,37
29,29
30,30
31,35
32,25
33,36
34,21
35,23
36,36
37,29
38,35
39,45
40,36
41,34
42,40
43,36
44,37
45,46
46,36
47,29
48,25
49,32
50,43
51,38
52,38
53,42
54,46
55,36
56,44
57,44
58,51
59,38
60,40
61,43
62,41
63,43
64,45
65,51
66,36
67,40
68,52
69,37
70,52
71,57
72,45
73,46
74,53
75,47
76,46
77,52
78,43
79,51
80,43
81,38
82,33
83,44
84,41
85,36
86,42
87,39
88,46
89,44
90,33
91,33
92,45
93,38
94,40
95,36
96,28
97,42
98,37
99,43
100,36
