times,counts
0,21
1,12
2,10
3,15
4,12
5,15
6,29
7,19
8,28
9,18
10,18
11,21
12,24
13,24
14,9
15,27
16,29
17,28
18,27
19,40
20,23
21,22
22,27
23,35
24,34
25,24
26,27
27,33
28,39
29,27
30,26
31,31
32,32
33,29
34,27
35,23
36,32
37,40
38,27
39,31
40,23
41,27
42,23
43,20
44,25
45,36
46,31
47,30
48,28
49,27
50,31
51,34
52,42
53,34
54,39
55,35
56,38
57,33
58,21
59,33
60,35
61,36
62,42
63,44
64,33
65,43
66,38
67,37
68,34
69,43
70,37
71,35
72,39
73,41
74,31
75,35
76,35
77,34
78,37
79,32
80,41
81,42
82,44
83,45
84,42
85,35
86,34
87,43
88,43
89,37
90,40
91,42
92,40
93,32
94,40
95,41
96,35
97,40
98,41
99,36
100,37
