times,counts
-3,3
-2,10
-1,7
0,10
1,12
2,22
3,16
4,20
5,21
6,17
7,16
8,11
9,20
10,22
11,20
12,17
13,32
14,26
15,32
16,30
17,20
18,16
19,23
20,20
21,27
22,19
23,22
24,23
25,22
26,22
27,11
28,19
29,22
30,15
31,21
32,20
33,17
34,18
35,15
36,15
37,15
38,24
39,22
40,25
41,13
42,16
43,15
44,18
45,25
46,19
47,25
48,27
49,25
50,20
51,26
52,27
53,29
54,29
55,11
56,28
57,20
58,32
59,28
60,22
61,20
62,23
63,24
64,35
65,26
66,19
67,25
68,16
69,15
70,9
71,13
72,23
73,14
74,20
75,28
76,24
77,17
78,14
79,12
80,21
81,8
82,13
83,18
84,11
85,19
86,11
87,10
88,12
89,12
90,11
91,15
92,7
93,11
94,13
95,7
96,3
97,4
98,7
99,1
101,4
102,2
