,times,counts,rates
111,-21,0,2.2915321397450467e-09
112,-20,0,1.1502409249673977e-07
113,-19,0,1.9066132910332493e-06
114,-18,0,1.9897417971589783e-05
115,-17,0,0.0001576737655560446
116,-16,0,0.0010080957858226596
117,-15,0,0.005319583984750614
118,-14,0,0.02349266479491265
119,-13,0,0.0876041982627687
120,-12,0,0.2771703908456903
121,-11,0,0.7467008631836147
122,-10,0,1.7205873964906835
123,-9,0,3.4129224397496505
124,-8,0,5.881355752407957
125,-7,0,8.921048218207764
126,-6,0,12.126078375775416
127,-5,0,15.095736058074218
128,-4,0,17.59174412828983
0,-3,1,19.51831845403157
1,-2,9,20.8283398570587
2,-1,8,21.516355703932863
3,0,7,21.69390978647982
4,1,15,21.624013859675365
5,2,12,21.640145238710804
6,3,14,21.99296488743201
7,4,24,22.743244018320738
8,5,24,23.78281837379452
9,6,16,24.948868177673308
10,7,21,26.12437964491106
11,8,20,27.247331808050493
12,9,19,28.247252229368975
13,10,22,29.010093303963718
14,11,31,29.438800863349204
15,12,18,29.552269209733627
16,13,26,29.51999259104316
17,14,23,29.607132090677652
18,15,31,30.072106703287297
19,16,26,31.063963979398267
20,17,31,32.5654239959315
21,18,31,34.41507808312452
22,19,29,36.384565231442345
23,20,31,38.23252515370226
24,21,21,39.69664855035967
25,22,32,40.50463975933674
26,23,39,40.50558440559988
27,24,32,39.84768631383001
28,25,26,38.99349476604752
29,26,36,38.502702236117194
30,27,43,38.74153868709434
31,28,42,39.715960334493936
32,29,41,41.10908544419252
33,30,45,42.48337213136284
34,31,35,43.51929099982142
35,32,29,44.138493015360524
36,33,41,44.45047227149615
37,34,39,44.5983958070882
38,35,42,44.63633117824838
39,36,47,44.51434541849241
40,37,42,44.14919630656525
41,38,39,43.511368536146584
42,39,44,42.6810171482755
43,40,45,41.84643193063075
44,41,44,41.22484680901092
45,42,43,40.929422397609265
46,43,42,40.8706535996332
47,44,51,40.78662261220358
48,45,44,40.41102240186386
49,46,42,39.664591405115
50,47,35,38.7093526095857
51,48,39,37.809243213546615
52,49,41,37.11880293912052
53,50,47,36.59263085515045
54,51,45,36.08594651206166
55,52,44,35.51885252854265
56,53,28,34.9171046563236
57,54,32,34.30480147278731
58,55,50,33.61579376068028
59,56,36,32.75200075279775
60,57,41,31.71249391400108
61,58,25,30.63506226773943
62,59,39,29.706717844544904
63,60,35,29.033636967757563
64,61,35,28.580538279462655
65,62,39,28.21749748472334
66,63,31,27.826964486812784
67,64,27,27.386246455145844
68,65,33,26.9779614335085
69,66,27,26.747189916628813
70,67,30,26.841892052934423
71,68,30,27.352711074335666
72,69,30,28.26504370431006
73,70,28,29.44048888533226
74,71,29,30.634975300917343
75,72,25,31.550823281127002
76,73,27,31.915574127429085
77,74,27,31.577830880918714
78,75,27,30.59461534259273
79,76,30,29.249986504120905
80,77,27,27.95644949217905
81,78,23,27.090537933369163
82,79,46,26.884557809465313
83,80,30,27.424064022153612
84,81,28,28.67829119859435
85,82,32,30.48127611332377
86,83,23,32.49293284116669
87,84,34,34.25536496106788
88,85,27,35.38659802883049
89,86,27,35.774120247961505
90,87,20,35.56499196977956
91,88,32,34.925269979255916
92,89,32,33.78784497011899
93,90,38,31.8328827585139
94,91,40,28.719132776277345
95,92,29,24.37581015709238
96,93,30,19.156064621163786
97,94,36,13.758422563179211
98,95,24,8.947236666898704
99,96,34,5.23827844823827
100,97,35,2.752736740498768
101,98,31,1.2964549926389302
102,99,30,0.5469514276862695
103,100,16,0.20695151420940894
104,101,15,0.07048168711244324
105,102,12,0.021679435831574247
106,103,7,0.005989411409499072
107,104,1,0.0014479082707778462
129,105,0,0.00029083092285581277
108,106,2,4.504688965678957e-05
109,107,1,4.8672056469379205e-06
130,108,0,3.1533529549721707e-07
131,109,0,9.142087105942564e-09
132,110,0,4.4790440675808166e-11
