,times,counts,rates
110,-22,0,3.2527836264886665e-09
111,-21,0,5.993171258272232e-08
112,-20,0,7.33084679839976e-07
113,-19,0,7.267124993871609e-06
114,-18,0,5.775796930107145e-05
115,-17,0,0.0003727427408939252
116,-16,0,0.001989699517915727
117,-15,0,0.008919509231892487
118,-14,0,0.033897740919501936
119,-13,0,0.10995311527548884
120,-12,0,0.3064829300693286
121,-11,0,0.739533103670156
122,-10,0,1.5574674791451106
123,-9,0,2.8910268400258383
124,-8,0,4.786288089807323
125,-7,0,7.163661213758647
126,-6,0,9.837538781415494
127,-5,0,12.59656774173439
0,-4,2,15.299128775088858
1,-3,1,17.90528337670262
2,-2,3,20.40567614023595
3,-1,9,22.715728846096855
4,0,7,24.64599954440548
5,1,12,25.9749508021781
6,2,10,26.554326418400745
7,3,19,26.363038196370713
8,4,9,25.480623169821822
9,5,24,24.034849183463255
10,6,28,22.19842106474324
11,7,18,20.218968706105276
12,8,26,18.40056203362888
13,9,22,17.017793927045947
14,10,31,16.221041835073553
15,11,19,15.98757462951801
16,12,30,16.139997944931565
17,13,23,16.425082039292988
18,14,17,16.613744491067553
19,15,14,16.57513066097857
20,16,20,16.301297192957588
21,17,16,15.880106172715871
22,18,15,15.433307838238319
23,19,20,15.059908418181141
24,20,17,14.816131960846931
25,21,15,14.729054689692376
26,22,19,14.8307721223797
27,23,16,15.19453484743543
28,24,14,15.924137001158027
29,25,14,17.061770685400987
30,26,15,18.474597119127132
31,27,19,19.842925490024303
32,28,17,20.797729502414967
33,29,13,21.10497636642068
34,30,12,20.73734637621671
35,31,11,19.797598244525126
36,32,25,18.41800240528553
37,33,20,16.74216211643992
38,34,18,14.953735642651353
39,35,18,13.273114827892337
40,36,23,11.91169282980835
41,37,20,11.016317615637963
42,38,13,10.631384465459998
43,39,27,10.69789893740404
44,40,14,11.090719233110917
45,41,14,11.666625991922173
46,42,14,12.28830429726223
47,43,10,12.81315499148223
48,44,10,13.078302730272053
49,45,15,12.93547824723733
50,46,11,12.339808749180506
51,47,11,11.41258342814157
52,48,9,10.401313410470088
53,49,13,9.562948675696967
54,50,13,9.06330703171317
55,51,16,8.947331768808187
56,52,13,9.164395897063011
57,53,12,9.607168469516944
58,54,10,10.140341167669561
59,55,9,10.619749233070111
60,56,10,10.91334406711784
61,57,8,10.939192921097751
62,58,11,10.721276869991161
63,59,10,10.418681544559453
64,60,8,10.268036396619982
65,61,7,10.451168241384698
66,62,16,10.985937231915326
67,63,13,11.72644073259302
68,64,11,12.461233292908158
69,65,9,13.018178403070769
70,66,6,13.296660215395658
71,67,11,13.233395814105151
72,68,13,12.77103499563382
73,69,11,11.875872135659312
74,70,11,10.58738297536406
75,71,15,9.050318914472342
76,72,10,7.491969764505252
77,73,10,6.147070553852672
78,74,17,5.176907010167752
79,75,10,4.632669986299679
80,76,15,4.470671529764622
81,77,10,4.591645032492449
82,78,10,4.875681057183078
83,79,5,5.20167607382579
84,80,6,5.457901059734175
85,81,5,5.555999469599012
86,82,6,5.451370544182882
87,83,4,5.16174303449076
88,84,5,4.77143017546052
89,85,7,4.40889122629872
90,86,2,4.195441462335369
91,87,8,4.185702769707046
92,88,5,4.334784816550952
93,89,7,4.51533468813021
94,90,6,4.575858396800259
95,91,2,4.4037839820206175
96,92,4,3.9615836149655377
97,93,4,3.2929063781025514
98,94,4,2.5053589716384974
99,95,5,1.7312621728526274
100,96,4,1.0796107987718329
101,97,6,0.6045609531802981
102,98,3,0.30336882834924656
103,99,4,0.13677111580223766
104,100,4,0.055792966361783755
105,101,3,0.020717326404635267
106,102,2,0.0069631817596066525
107,103,1,0.0020632469707201817
128,104,0,0.0005134956787325834
129,105,0,0.00010025329047067407
108,106,1,1.3980937718187335e-05
130,107,0,1.2026512495671644e-06
131,108,0,4.737462646368668e-08
132,109,0,3.006179375903457e-10
