,times,counts,rates
112,-21,0,1.9369677552699283e-09
113,-20,0,4.1434965247665445e-08
114,-19,0,6.43959156991603e-07
115,-18,0,7.366391138692956e-06
116,-17,0,6.486446905270738e-05
117,-16,0,0.00045617945460618475
118,-15,0,0.002643269684206603
119,-14,0,0.012801848893867119
120,-13,0,0.052168557788851946
121,-12,0,0.18006783647120908
122,-11,0,0.5302601040576637
123,-10,0,1.3410052790778078
124,-9,0,2.929892198276538
125,-8,0,5.56459159620293
126,-7,0,9.25268398501213
127,-6,0,13.583461903529555
128,-5,0,17.780789404720004
129,-4,0,20.99504543795401
0,-3,2,22.673041460583807
1,-2,2,22.78404075983749
2,-1,9,21.792864824755487
3,0,10,20.423276141164504
4,1,16,19.34958483963439
5,2,16,18.985848871073845
6,3,30,19.462679446956113
7,4,19,20.714938005484044
8,5,14,22.5462766689528
9,6,21,24.661551723763882
10,7,22,26.75285377213489
11,8,19,28.63379279147377
12,9,15,30.29514659353107
13,10,19,31.812955789726008
14,11,20,33.21286171632177
15,12,35,34.43777274834135
16,13,24,35.420058994729914
17,14,17,36.142515277801486
18,15,34,36.63960070219199
19,16,30,36.99707542645448
20,17,31,37.37980299041259
21,18,32,38.027524025375186
22,19,34,39.153394640845235
23,20,37,40.766098469029984
24,21,33,42.54289118146337
25,22,41,43.91856572057925
26,23,41,44.41903648698415
27,24,34,44.01641104131353
28,25,26,43.20006774813115
29,26,40,42.68013983356424
30,27,45,42.93055848386069
31,28,45,43.884617745376374
32,29,53,44.99072253193011
33,30,47,45.59382105870084
34,31,39,45.36883816872193
35,32,29,44.49601695320151
36,33,39,43.4929473106812
37,34,47,42.89682547040016
38,35,51,43.052365010923396
39,36,51,44.08895432341899
40,37,43,45.989580195177936
41,38,41,48.62435288562799
42,39,48,51.7160496334718
43,40,36,54.81456861992427
44,41,50,57.37437569989723
45,42,47,58.92739983034553
46,43,34,59.24269868397952
47,44,49,58.39213812379463
48,45,51,56.73291158679431
49,46,52,54.829270000992466
50,47,55,53.29941091327081
51,48,56,52.60590626879625
52,49,58,52.88304399486224
53,50,66,53.90262465609567
54,51,56,55.202870163146436
55,52,52,56.312555752399646
56,53,57,56.95162972325643
57,54,44,57.10532780240997
58,55,53,56.95328397452414
59,56,56,56.73263666079555
60,57,57,56.63325923379616
61,58,60,56.75112081419418
62,59,53,57.067857186384224
63,60,58,57.449167920203465
64,61,56,57.68742527971955
65,62,57,57.59537562479326
66,63,57,57.11989695167589
67,64,53,56.40568856581688
68,65,58,55.734267573366616
69,66,52,55.352382554093516
70,67,62,55.32066251771812
71,68,64,55.50999444340218
72,69,54,55.73309821825056
73,70,59,55.87351014702661
74,71,52,55.90041246025268
75,72,47,55.800348251784314
76,73,71,55.544053731342345
77,74,47,55.13732181504987
78,75,57,54.691871406636096
79,76,56,54.433275009823916
80,77,59,54.60438100656985
81,78,48,55.28065695196782
82,79,63,56.212453629650675
83,80,52,56.87323585517053
84,81,68,56.78085644703157
85,82,46,55.892399411751484
86,83,48,54.72097919989135
87,84,49,54.02116981388146
88,85,54,54.27066365990035
89,86,71,55.33680217336391
90,87,64,56.52771221387351
91,88,54,56.922371615623355
92,89,53,55.72316916016292
93,90,42,52.447579851830604
94,91,55,46.96575015716268
95,92,60,39.52087473793836
96,93,52,30.796237213469684
97,94,62,21.88719897827106
98,95,54,14.001179646329403
99,96,38,7.986171328456507
100,97,53,4.0417408729142705
101,98,45,1.8159349665899103
102,99,52,0.7322283020324455
103,100,36,0.27338032870428913
104,101,28,0.10019006412408801
105,102,16,0.03856004476400004
106,103,8,0.016095424726080408
107,104,1,0.0071034968832058235
108,105,1,0.00312009564677056
109,106,1,0.001275155557016487
130,107,0,0.00045466767878584146
131,108,0,0.0001328633144041435
132,109,0,2.974196588163969e-05
110,110,1,4.676150573397706e-06
133,111,0,4.498475897222503e-07
134,112,0,1.987678142829028e-08
135,113,0,1.4356080184881863e-10
