times,counts
-3,4
-2,6
-1,8
0,7
1,12
2,13
3,20
4,16
5,17
6,11
7,16
8,16
9,16
10,14
11,17
12,16
13,14
14,10
15,16
16,14
17,12
18,16
19,23
20,15
21,16
22,19
23,16
24,16
25,18
26,14
27,19
28,26
29,31
30,18
31,19
32,21
33,19
34,18
35,17
36,17
37,14
38,16
39,17
40,26
41,19
42,22
43,22
44,16
45,15
46,5
47,15
48,12
49,16
50,15
51,13
52,14
53,20
54,17
55,21
56,22
57,17
58,24
59,23
60,26
61,19
62,27
63,29
64,22
65,29
66,32
67,22
68,21
69,29
70,24
71,26
72,28
73,30
74,28
75,27
76,31
77,22
78,27
79,33
80,21
81,25
82,25
83,27
84,26
85,21
86,25
87,20
88,23
89,27
90,33
91,26
92,31
93,25
94,38
95,26
96,26
97,33
98,27
99,30
100,14
101,11
102,13
103,6
104,4
105,2
108,1
