,times,counts,rates
100,-21,0,9.33462457567506e-09
101,-20,0,2.1139098658524462e-07
102,-19,0,2.882127128462336e-06
103,-18,0,2.8539082337750095e-05
104,-17,0,0.00022020484375382266
105,-16,0,0.0013736219677132422
106,-15,0,0.007057271968247311
107,-14,0,0.03022127634892519
108,-13,0,0.10890364493492266
109,-12,0,0.3325696090145697
110,-11,0,0.8652804500838127
111,-10,0,1.9274627296742135
112,-9,0,3.6955952152094467
113,-8,0,6.13980574865168
114,-7,0,8.919325150575224
115,-6,0,11.471449938329386
116,-5,0,13.28374598676458
117,-4,0,14.16374278451294
0,-3,3,14.315017769665852
1,-2,5,14.188667782691962
2,-1,8,14.229132639369178
3,0,10,14.667134373645546
4,1,14,15.456258598468905
5,2,15,16.358649379825298
6,3,11,17.103457090488867
7,4,10,17.511341446303103
8,5,13,17.5205562375027
9,6,9,17.143198251602644
10,7,23,16.438552355301393
11,8,12,15.536899625103405
12,9,19,14.652877024878793
13,10,15,14.02843839920165
14,11,13,13.828281916144917
15,12,24,14.058159423516825
16,13,14,14.555495330105098
17,14,23,15.057095564019479
18,15,9,15.304469602884708
19,16,13,15.124111631458588
20,17,16,14.452412551146846
21,18,11,13.331199973643198
22,19,16,11.90149226909522
23,20,17,10.380393128938158
24,21,14,9.000622027168525
25,22,12,7.935550881437643
26,23,16,7.260128924333128
27,24,20,6.965899034141468
28,25,11,6.994417099927352
29,26,8,7.253140132097143
30,27,12,7.621532398084118
31,28,10,7.965645837952227
32,29,8,8.159009526246434
33,30,3,8.110119267845416
34,31,14,7.798319460228463
35,32,4,7.289124008009733
36,33,6,6.698705400494536
37,34,9,6.133057282382154
38,35,9,5.653900809982957
39,36,10,5.282046939944177
40,37,7,5.01328091809149
41,38,5,4.832424134937616
42,39,9,4.7274577733419045
43,40,7,4.699490396915467
44,41,5,4.755681411747286
45,42,4,4.883580612576719
46,43,8,5.026515781016318
47,44,5,5.083594780746318
48,45,5,4.942654471202094
49,46,4,4.536716598005804
50,47,7,3.894250156941686
51,48,2,3.1413153961359495
52,49,3,2.4452904763049172
53,50,6,1.9465248092978762
54,51,8,1.7291582354017858
55,52,4,1.8273910903727049
56,53,4,2.224376273758555
57,54,5,2.8240443300658002
58,55,3,3.4350828572144914
59,56,3,3.827014371936285
60,57,1,3.849171771002972
61,58,1,3.5158453994841685
118,59,0,2.9816832730646685
62,60,4,2.4404109117565564
63,61,4,2.035645688707402
64,62,4,1.8297529393840521
65,63,5,1.8170087196908196
66,64,2,1.9526307517792998
67,65,5,2.1821195974061594
68,66,2,2.46041902839078
119,67,0,2.7521160495498647
69,68,2,3.0217246172999173
70,69,4,3.2337760186356728
71,70,2,3.360448658924103
120,71,0,3.380997687983275
72,72,4,3.2809800289829343
73,73,3,3.067479236136486
74,74,2,2.786685879761716
75,75,3,2.5178902374972494
76,76,2,2.343099864743051
77,77,5,2.311563747528988
78,78,2,2.414669181210043
79,79,5,2.5820480889607498
80,80,3,2.710046950522186
81,81,2,2.7160641281131364
82,82,3,2.5824088129508342
121,83,0,2.3547041637128925
83,84,2,2.103015652112981
84,85,5,1.8857006056774197
85,86,2,1.7357900025389124
86,87,3,1.6576250028246946
87,88,3,1.6266534870711955
88,89,2,1.6005305591710073
89,90,3,1.538501214236577
90,91,1,1.4147141141699875
91,92,1,1.2230513788460178
92,93,4,0.9794466073885693
122,94,0,0.7183912527410805
93,95,2,0.4787719611952461
94,96,1,0.28750705721783804
95,97,2,0.15328334292970644
96,98,3,0.0707185405794239
123,99,0,0.027205458476171375
124,100,0,0.008322114394998505
97,101,1,0.0019066386725069095
98,102,2,0.00030133525756936673
125,103,0,2.875259321493717e-05
126,104,0,1.2535223287385952e-06
127,105,0,9.138289611593201e-09
