times,counts
-5,1
-4,1
-3,4
-2,3
-1,3
0,11
1,12
2,18
3,14
4,16
5,22
6,14
7,17
8,20
9,17
10,15
11,17
12,19
13,16
14,18
15,13
16,20
17,19
18,19
19,14
20,12
21,18
22,21
23,23
24,23
25,23
26,21
27,20
28,13
29,10
30,21
31,12
32,11
33,16
34,20
35,19
36,12
37,12
38,16
39,16
40,17
41,16
42,6
43,8
44,11
45,8
46,8
47,6
48,11
49,10
50,11
51,14
52,11
53,11
54,7
55,11
56,11
57,15
58,15
59,14
60,18
61,7
62,9
63,17
64,8
65,14
66,12
67,7
68,13
69,11
70,14
71,10
72,12
73,11
74,8
75,6
76,14
77,11
78,11
79,6
80,8
81,11
82,9
83,4
84,8
85,12
86,6
87,6
88,5
89,4
90,5
91,8
92,4
93,4
94,2
95,1
96,2
97,3
98,1
99,4
100,1
