times,counts
0,18
1,23
2,11
3,13
4,14
5,21
6,18
7,22
8,18
9,22
10,23
11,21
12,26
13,15
14,24
15,18
16,27
17,12
18,23
19,14
20,18
21,25
22,17
23,16
24,17
25,10
26,18
27,18
28,16
29,12
30,19
31,22
32,14
33,12
34,13
35,14
36,19
37,12
38,13
39,14
40,15
41,17
42,11
43,9
44,8
45,9
46,10
47,3
48,3
49,3
50,12
51,6
52,4
53,8
54,4
55,9
56,2
57,1
58,1
59,8
60,5
61,4
62,10
63,7
64,11
65,10
66,14
67,9
68,9
69,12
70,7
71,8
72,9
73,6
74,13
75,9
76,11
77,9
78,10
79,10
80,3
81,14
82,7
83,14
84,10
85,17
86,13
87,11
88,11
89,8
90,5
91,10
92,14
93,15
94,8
95,7
96,10
97,8
98,12
99,6
100,12
