,times,counts,rates
96,-21,0,4.949711682810122e-09
97,-20,0,1.0039613244540359e-07
98,-19,0,1.3991558353299867e-06
99,-18,0,1.4694426561449254e-05
100,-17,0,0.00011834152488328291
101,-16,0,0.0007532372969161475
102,-15,0,0.003923119792457427
103,-14,0,0.01711118426309536
104,-13,0,0.06314508715194422
105,-12,0,0.19799943776208945
106,-11,0,0.5294281394335562
107,-10,0,1.2125857220889777
108,-9,0,2.3925531514685265
109,-8,0,4.097997130365259
110,-7,0,6.158651854199834
111,-6,0,8.244179856624017
112,-5,0,10.034491391139692
113,-4,0,11.395578344245225
0,-3,2,12.406515048324826
1,-2,2,13.219343085966928
2,-1,7,13.897891839715909
3,0,10,14.385695179062159
4,1,9,14.59213188915029
5,2,4,14.467638536448332
6,3,11,14.002330115186497
7,4,15,13.203123008240789
8,5,11,12.111952740651828
9,6,13,10.849451673969275
10,7,16,9.628479546665083
11,8,9,8.713682952300454
12,9,17,8.349008255586034
13,10,11,8.685055186707299
14,11,19,9.720416662712307
15,12,10,11.265143961263801
16,13,12,12.9567416784957
17,14,10,14.367370735387507
18,15,7,15.180324782143074
19,16,8,15.324011737377885
20,17,5,14.955110286061554
21,18,14,14.30875932570818
22,19,13,13.546081936935279
23,20,12,12.709022970875054
24,21,21,11.783682611017234
25,22,11,10.788590551223923
26,23,13,9.805500466610349
27,24,10,8.942088149392715
28,25,17,8.279870891351889
29,26,13,7.85534765229645
30,27,15,7.673766163806294
31,28,10,7.723455030402123
32,29,13,7.963293560082832
33,30,5,8.288569327691729
34,31,11,8.523596169648393
35,32,12,8.488531669063795
36,33,7,8.107734845588825
37,34,7,7.455179754722267
38,35,2,6.685020983385844
39,36,13,5.918612050542368
40,37,8,5.194874994611697
41,38,13,4.507556995157826
42,39,7,3.863122787418571
43,40,4,3.2938407160685146
44,41,8,2.8311694624260637
45,42,5,2.4857435598935185
46,43,10,2.2532856366580885
47,44,3,2.130027986739832
48,45,5,2.119125309623447
49,46,4,2.2222703379529993
50,47,2,2.4212755668074797
51,48,5,2.6636887446838164
52,49,2,2.870399827854476
53,50,3,2.970764629653197
54,51,2,2.94174007704966
55,52,2,2.814218841222161
114,53,0,2.6412565688462233
56,54,5,2.462485829310135
57,55,4,2.2931982082285485
58,56,1,2.1333545412698074
59,57,4,1.9796590347073166
60,58,2,1.8337529095573202
61,59,3,1.7066565495002768
62,60,2,1.619197625525159
63,61,3,1.5982496907848387
64,62,1,1.6687261950496153
65,63,4,1.8388353459945033
66,64,1,2.0798351751906923
67,65,2,2.316041331122857
68,66,3,2.4463771512083325
69,67,1,2.3958057807190793
70,68,1,2.162837814862585
71,69,1,1.827027035577014
72,70,3,1.5118480901410363
115,71,0,1.3292388733505598
73,72,5,1.335628873714446
74,73,1,1.5124610065343222
75,74,5,1.7722520789406513
76,75,2,1.990433764905479
116,76,0,2.057366575003058
77,77,1,1.930275311890943
78,78,1,1.6553173933363001
79,79,1,1.34105572503479
80,80,2,1.099382351053898
81,81,2,0.9961169051707349
82,82,3,1.0362343909869312
83,83,3,1.1741931440563198
84,84,1,1.3349613873319035
85,85,2,1.4443413590051146
117,86,0,1.4612693843830196
86,87,1,1.3894757309420447
87,88,1,1.2563132256344665
118,89,0,1.080829091987835
88,90,3,0.8672031456255296
89,91,3,0.6268862734044414
119,92,0,0.39377207407325693
120,93,0,0.2083342486556479
90,94,1,0.0903531276245111
91,95,2,0.03123603595940531
92,96,1,0.008312240897750092
93,97,2,0.001619461263770665
94,98,1,0.00021349358787333135
121,99,0,1.66031948029525e-05
122,100,0,5.742380750015439e-07
123,101,0,3.45797202314821e-09
