times,counts
-3,3
-2,7
-1,10
0,18
1,15
2,19
3,13
4,17
5,19
6,21
7,18
8,18
9,24
10,27
11,26
12,25
13,30
14,18
15,33
16,22
17,28
18,30
19,39
20,35
21,40
22,25
23,23
24,38
25,30
26,34
27,40
28,30
29,35
30,31
31,30
32,26
33,42
34,42
35,45
36,40
37,33
38,47
39,39
40,43
41,45
42,39
43,55
44,61
45,50
46,50
47,56
48,62
49,47
50,46
51,52
52,66
53,61
54,75
55,58
56,55
57,66
58,46
59,51
60,63
61,58
62,43
63,61
64,59
65,64
66,69
67,61
68,76
69,61
70,60
71,72
72,85
73,77
74,60
75,57
76,54
77,61
78,78
79,63
80,66
81,85
82,60
83,68
84,81
85,73
86,65
87,63
88,72
89,85
90,78
91,63
92,63
93,78
94,71
95,80
96,70
97,82
98,50
99,57
100,35
101,20
102,15
103,12
104,5
105,3
106,4
108,1
109,1
111,1
