times,counts
-3,4
-2,4
-1,10
0,16
1,11
2,17
3,14
4,19
5,14
6,19
7,17
8,15
9,16
10,18
11,22
12,17
13,30
14,26
15,23
16,20
17,25
18,29
19,24
20,20
21,31
22,20
23,22
24,28
25,28
26,25
27,24
28,21
29,26
30,21
31,20
32,33
33,25
34,22
35,23
36,19
37,30
38,25
39,20
40,21
41,12
42,19
43,19
44,27
45,16
46,22
47,27
48,17
49,17
50,16
51,11
52,11
53,15
54,14
55,12
56,16
57,9
58,17
59,17
60,8
61,14
62,16
63,12
64,9
65,9
66,10
67,13
68,5
69,4
70,13
71,9
72,7
73,13
74,10
75,5
76,13
77,8
78,2
79,7
80,9
81,6
82,6
84,6
85,7
86,7
87,2
88,3
89,1
90,2
92,4
93,2
94,2
95,1
96,4
97,4
98,2
99,1
100,2
102,2
106,1
