times,counts
-5,1
-4,2
-3,4
-2,7
-1,7
0,14
1,12
2,14
3,16
4,24
5,35
6,24
7,29
8,24
9,19
10,17
11,19
12,25
13,36
14,27
15,34
16,23
17,36
18,27
19,33
20,26
21,27
22,22
23,31
24,25
25,19
26,28
27,22
28,28
29,24
30,23
31,34
32,30
33,36
34,34
35,31
36,42
37,31
38,44
39,38
40,31
41,33
42,30
43,37
44,43
45,46
46,32
47,38
48,52
49,46
50,44
51,44
52,45
53,55
54,35
55,46
56,49
57,48
58,57
59,44
60,48
61,60
62,52
63,43
64,53
65,38
66,49
67,45
68,41
69,50
70,38
71,43
72,36
73,47
74,39
75,46
76,50
77,40
78,38
79,44
80,43
81,40
82,46
83,51
84,53
85,50
86,54
87,48
88,50
89,60
90,61
91,66
92,56
93,44
94,73
95,40
96,56
97,61
98,47
99,35
100,30
101,19
102,10
103,5
104,4
109,1
