times,counts
-3,3
-2,3
-1,6
0,11
1,16
2,22
3,14
4,20
5,18
6,12
7,23
8,21
9,19
10,21
11,12
12,23
13,22
14,18
15,25
16,19
17,18
18,20
19,25
20,29
21,29
22,14
23,27
24,22
25,28
26,23
27,28
28,30
29,26
30,22
31,30
32,26
33,29
34,31
35,46
36,37
37,33
38,34
39,38
40,27
41,38
42,32
43,35
44,36
45,42
46,34
47,31
48,48
49,35
50,35
51,43
52,38
53,42
54,48
55,39
56,41
57,50
58,42
59,39
60,40
61,55
62,37
63,36
64,41
65,40
66,29
67,36
68,32
69,44
70,23
71,44
72,33
73,35
74,42
75,44
76,35
77,40
78,37
79,47
80,44
81,52
82,34
83,46
84,51
85,43
86,50
87,52
88,48
89,34
90,51
91,46
92,44
93,52
94,46
95,47
96,59
97,45
98,38
99,37
100,26
101,9
102,5
103,3
104,2
105,1
106,1
109,1
