times,counts
0,17
1,16
2,16
3,16
4,15
5,11
6,14
7,18
8,26
9,14
10,15
11,19
12,19
13,17
14,25
15,18
16,15
17,19
18,29
19,33
20,28
21,26
22,30
23,19
24,30
25,28
26,30
27,34
28,21
29,32
30,27
31,28
32,29
33,38
34,38
35,28
36,37
37,40
38,31
39,31
40,39
41,32
42,47
43,38
44,38
45,29
46,27
47,21
48,30
49,24
50,31
51,30
52,30
53,27
54,29
55,24
56,28
57,42
58,26
59,35
60,19
61,28
62,27
63,30
64,41
65,30
66,35
67,36
68,30
69,40
70,33
71,34
72,44
73,34
74,45
75,40
76,39
77,29
78,35
79,36
80,36
81,38
82,43
83,35
84,44
85,51
86,50
87,43
88,43
89,42
90,47
91,48
92,46
93,47
94,49
95,57
96,60
97,59
98,55
99,54
100,59
