,times,counts,rates
89,-21,0,3.738709199591428e-09
90,-20,0,9.771816010040349e-08
91,-19,0,1.50888097660099e-06
92,-18,0,1.5713004122276058e-05
93,-17,0,0.0001264752575270887
94,-16,0,0.0008252083358563498
95,-15,0,0.004444849026110496
96,-14,0,0.01999932058276587
97,-13,0,0.07585718149500115
98,-12,0,0.24422711839901534
99,-11,0,0.6712030394741733
100,-10,0,1.5832301210316218
101,-9,0,3.225346943695695
102,-8,0,5.7205808941592835
103,-7,0,8.928998907153261
104,-6,0,12.43663771329461
105,-5,0,15.715217993228391
106,-4,0,18.335991072524408
0,-3,2,20.089761489746348
1,-2,5,20.97770069797611
2,-1,10,21.126486089119037
3,0,5,20.690151245950187
4,1,19,19.79324700338141
5,2,14,18.54116887777951
6,3,18,17.064576832873858
7,4,16,15.538478143116299
8,5,19,14.153764313921464
9,6,19,13.073658134576277
10,7,23,12.41152968999011
11,8,19,12.216758554300991
12,9,16,12.439758999348138
13,10,17,12.901375965109995
14,11,19,13.325641058687449
15,12,12,13.448768332303668
16,13,14,13.143840984198166
17,14,12,12.472471157407126
18,15,7,11.619911422635115
19,16,16,10.759362220892488
20,17,16,9.949607716338626
21,18,14,9.141040851473937
22,19,14,8.267931045545954
23,20,15,7.3307513913433935
24,21,6,6.40030733507544
25,22,9,5.566822977368656
26,23,15,4.899348129499845
27,24,10,4.441037911845648
28,25,10,4.217693213841995
29,26,6,4.238521444100477
30,27,9,4.489487150755229
31,28,7,4.917853356894321
32,29,5,5.408471944196511
33,30,4,5.7853259644443416
34,31,8,5.875787905515575
35,32,4,5.605398211679616
107,33,0,5.037431153450133
36,34,6,4.325286841470957
37,35,6,3.6317178644100663
38,36,7,3.073153972162533
39,37,5,2.698884540347955
40,38,5,2.495070964852429
41,39,6,2.4098098880494874
42,40,8,2.390464457294036
43,41,1,2.410727878292431
44,42,2,2.467576520212286
45,43,3,2.5549841734661225
46,44,4,2.6458953333570574
47,45,4,2.7043716122320576
48,46,2,2.715527343153955
49,47,2,2.702575162253142
50,48,2,2.7150841954138625
51,49,2,2.8016320556213365
52,50,4,2.9927632379374587
53,51,4,3.2989447546443516
54,52,1,3.700091689662255
55,53,2,4.119607811802048
56,54,4,4.422550540459589
57,55,4,4.473379706554178
58,56,1,4.220223778779289
59,57,3,3.731345187397697
60,58,2,3.1519638163916364
61,59,3,2.62227687624034
62,60,7,2.222125667675497
63,61,5,1.9684108313193882
64,62,4,1.8392148271040893
65,63,3,1.7902372917104152
66,64,4,1.761602800279004
67,65,3,1.6950638999592023
68,66,2,1.5632674433246438
69,67,2,1.385020931944113
70,68,2,1.2076773366726707
71,69,1,1.070474490055776
72,70,3,0.9790658833869814
73,71,3,0.9077801747590738
74,72,1,0.8226431650572531
75,73,2,0.7068727834194795
76,74,1,0.5731675108885893
77,75,1,0.45572478093296415
108,76,0,0.38776014235461626
109,77,0,0.38178104153148446
78,78,4,0.4272636744969048
79,79,1,0.5033032854075363
110,80,0,0.5897201408626555
111,81,0,0.6655518078639292
112,82,0,0.7040816796139528
80,83,1,0.6818881093759497
81,84,1,0.5998314912220738
113,85,0,0.49160174813926766
114,86,0,0.40533986603167377
115,87,0,0.37372755961041926
82,88,2,0.39683867511195525
83,89,1,0.44578696275201146
84,90,1,0.48099927262464115
116,91,0,0.4740518374047842
117,92,0,0.4198178918483308
118,93,0,0.33243565532315306
119,94,0,0.23321314337929316
85,95,2,0.14194276283975402
120,96,0,0.07260349003076536
121,97,0,0.030023112821887004
122,98,0,0.00960158656662664
86,99,1,0.0022489595968875438
87,100,1,0.000357186545319957
123,101,0,3.378467131157987e-05
124,102,0,1.4465976171399938e-06
125,103,0,1.0614162654355557e-08
