,times,counts,rates
112,-22,0,9.007160969984185e-10
113,-21,0,2.5160421822930986e-08
114,-20,0,3.7127249101820337e-07
115,-19,0,3.811241987741079e-06
116,-18,0,3.152014534627005e-05
117,-17,0,0.00021523429445743136
118,-16,0,0.0012247877277011658
119,-15,0,0.005864333201372024
120,-14,0,0.02378913310358062
121,-13,0,0.08222979795211204
122,-12,0,0.24384719516900966
123,-11,0,0.625438474826782
124,-10,0,1.400464246206336
125,-9,0,2.766645110550713
126,-8,0,4.877444387239077
127,-7,0,7.757826923508439
128,-6,0,11.228857809572432
129,-5,0,14.875123549754845
0,-4,1,18.120765389179606
1,-3,3,20.451139066719573
2,-2,3,21.671744316118584
3,-1,2,21.997757252847745
4,0,13,21.895869469287533
5,1,9,21.8235807227128
6,2,20,22.06378281617816
7,3,21,22.711738325624793
8,4,18,23.728357347942264
9,5,15,24.97169278757537
10,6,24,26.216711203073796
11,7,20,27.21624976683986
12,8,22,27.795563082225573
13,9,19,27.915375126354824
14,10,23,27.65501178624887
15,11,26,27.127247900408364
16,12,24,26.38839430220356
17,13,24,25.41792623176178
18,14,36,24.195154966892254
19,15,23,22.809185184521873
20,16,24,21.484612764758072
21,17,27,20.475550102339252
22,18,22,19.91464263139911
23,19,36,19.748997811261813
24,20,24,19.81335188658788
25,21,24,19.976311349158465
26,22,24,20.238364739528926
27,23,12,20.699158766678188
28,24,23,21.42677126773514
29,25,25,22.348312693369834
30,26,21,23.25080194158741
31,27,21,23.886806063093452
32,28,19,24.109597994979577
33,29,20,23.940845174659803
34,30,15,23.524507913096045
35,31,28,23.025009420813507
36,32,19,22.570574210747846
37,33,29,22.27393111731371
38,34,20,22.27790553083614
39,35,25,22.761507056718436
40,36,22,23.88103613712542
41,37,21,25.660473739112337
42,38,29,27.8878228706777
43,39,20,30.11257211266576
44,40,24,31.810679785870352
45,41,27,32.65324909186547
46,42,13,32.687169458084696
47,43,23,32.282109054406426
48,44,26,31.901326312954026
49,45,35,31.875513229834485
50,46,35,32.285966765657314
51,47,25,32.95583398724392
52,48,35,33.537299621609684
53,49,35,33.687681756415685
54,50,26,33.26774372052137
55,51,29,32.44158286976307
56,52,32,31.597431382160448
57,53,29,31.1308638350785
58,54,36,31.243447187217896
59,55,40,31.90253898997203
60,56,36,32.96407457891053
61,57,32,34.31370445444924
62,58,22,35.893739364328354
63,59,35,37.633007359059825
64,60,32,39.39892277066454
65,61,37,41.04305970453377
66,62,27,42.49623359307546
67,63,34,43.817642332714485
68,64,38,45.1473643218056
69,65,29,46.58851885453432
70,66,44,48.09806335173728
71,67,40,49.47092296815074
72,68,43,50.43827736146672
73,69,42,50.805116419549186
74,70,37,50.52799949044658
75,71,46,49.69931580154554
76,72,50,48.481370878617824
77,73,40,47.06854852571731
78,74,61,45.7114231940582
79,75,45,44.73137371171157
80,76,47,44.43364871446694
81,77,47,44.95594083405803
82,78,59,46.190778171711266
83,79,48,47.85002563216342
84,80,42,49.614585558872335
85,81,50,51.27829306665943
86,82,35,52.82412975316809
87,83,53,54.382670842828254
88,84,42,56.04012457901683
89,85,43,57.58500394702023
90,86,60,58.43079524265665
91,87,51,57.851254235979845
92,88,49,55.349656481404196
93,89,47,50.864806027540524
94,90,47,44.718135112921196
95,91,65,37.434138055533886
96,92,48,29.608878995334404
97,93,68,21.880555754875168
98,94,53,14.906525166394122
99,95,51,9.241663321119015
100,96,47,5.161617233701275
101,97,36,2.5830410650036346
102,98,35,1.1583861911197497
103,99,45,0.4675255966381626
104,100,31,0.17034740861067235
105,101,11,0.055716267622886534
106,102,11,0.01604804748852155
107,103,3,0.003942459093661157
108,104,4,0.0007910785065382528
109,105,2,0.00012232776300643628
110,106,2,1.3395424993149318e-05
130,107,0,9.032582622641414e-07
131,108,0,2.7849525674668087e-08
132,109,0,1.3875310866070635e-10
