,times,counts,rates
48,-21,0,6.501439480562936e-09
49,-20,0,1.3239554005990253e-07
50,-19,0,1.8500536655608762e-06
51,-18,0,1.8583356806030964e-05
52,-17,0,0.00014619304953130357
53,-16,0,0.0009386840728936249
54,-15,0,0.004985900524632314
55,-14,0,0.02210979815803866
56,-13,0,0.0825672005453115
57,-12,0,0.2616140104253171
58,-11,0,0.7077883357747228
59,-10,0,1.6442331067642477
60,-9,0,3.2986484756397783
61,-8,0,5.755786127115783
62,-7,0,8.815162005243717
63,-6,0,11.97979495972441
64,-5,0,14.621394043340723
65,-4,0,16.23694226747989
0,-3,3,16.653653150101654
1,-2,3,16.07269200596271
2,-1,10,14.929839924768206
3,0,5,13.6619438214516
4,1,17,12.530249703990924
5,2,17,11.593126541327338
6,3,14,10.789662894999475
7,4,14,10.031876566842927
8,5,11,9.255425049762131
9,6,16,8.444012397624082
10,7,15,7.6357833432611795
11,8,5,6.900417620149994
12,9,15,6.305044690135196
13,10,14,5.899616439272013
14,11,9,5.712948501137413
15,12,9,5.7377345926341246
16,13,8,5.913284164668754
17,14,9,6.126722662387518
18,15,7,6.243247230549705
19,16,8,6.161582001930729
20,17,4,5.863520097395974
21,18,4,5.417303987829728
22,19,7,4.934415009598173
23,20,7,4.520504981462336
24,21,5,4.250754758864419
25,22,10,4.159027967562419
26,23,5,4.216542230776354
27,24,1,4.31247539606372
28,25,10,4.284219064457543
29,26,7,4.0072089151723365
30,27,2,3.4739073347016887
66,28,0,2.7863782710522917
31,29,6,2.0794977439538784
32,30,5,1.455179424708881
33,31,5,0.96630810608986
34,32,5,0.6279775050543508
35,33,4,0.43104343881755125
36,34,3,0.3528999714754321
37,35,2,0.3632914953619142
38,36,2,0.42489299038030903
39,37,4,0.49798773251861134
67,38,0,0.5561093694500934
68,39,0,0.6005382394890457
69,40,0,0.6530316949276208
70,41,0,0.7263368909657689
40,42,1,0.7995655084274111
41,43,2,0.8258464276680322
71,44,0,0.7680741632686098
72,45,0,0.628997628250057
73,46,0,0.44896862430293477
42,47,1,0.27806225048781724
43,48,1,0.14907956136443107
74,49,0,0.06905381563929859
44,50,2,0.027502901711254028
45,51,1,0.009285379174004628
75,52,0,0.0025722121173406133
76,53,0,0.0005517546894873295
46,54,1,8.374999296187588e-05
77,55,0,7.784921467388179e-06
78,56,0,3.312540809056254e-07
79,57,0,2.2973050623309496e-09
