times,counts
0,16
1,19
2,19
3,15
4,19
5,18
6,24
7,20
8,23
9,18
10,28
11,15
12,22
13,20
14,25
15,24
16,31
17,30
18,31
19,21
20,31
21,44
22,27
23,34
24,28
25,20
26,30
27,34
28,27
29,20
30,28
31,34
32,26
33,33
34,27
35,29
36,21
37,21
38,32
39,23
40,29
41,20
42,17
43,28
44,28
45,32
46,31
47,34
48,39
49,41
50,33
51,32
52,36
53,32
54,22
55,22
56,39
57,39
58,39
59,39
60,40
61,31
62,34
63,44
64,47
65,33
66,41
67,30
68,35
69,46
70,40
71,49
72,49
73,44
74,47
75,58
76,45
77,50
78,43
79,52
80,45
81,52
82,48
83,40
84,36
85,39
86,35
87,36
88,40
89,34
90,37
91,42
92,41
93,38
94,45
95,38
96,45
97,44
98,32
99,47
100,45
