times,counts
0,17
1,12
2,23
3,27
4,25
5,15
6,21
7,23
8,17
9,14
10,20
11,28
12,18
13,33
14,32
15,33
16,30
17,31
18,31
19,26
20,26
21,20
22,31
23,39
24,35
25,41
26,27
27,37
28,37
29,43
30,37
31,35
32,28
33,41
34,35
35,38
36,33
37,41
38,35
39,44
40,36
41,40
42,45
43,33
44,33
45,44
46,46
47,38
48,34
49,43
50,42
51,40
52,40
53,44
54,49
55,51
56,42
57,37
58,32
59,40
60,38
61,37
62,32
63,40
64,28
65,31
66,42
67,39
68,30
69,27
70,30
71,21
72,25
73,33
74,23
75,28
76,30
77,26
78,27
79,25
80,22
81,24
82,32
83,32
84,34
85,30
86,35
87,39
88,38
89,38
90,34
91,34
92,36
93,41
94,33
95,42
96,38
97,36
98,50
99,43
100,34
