,times,counts,rates
92,-21,0,5.829592430926794e-09
93,-20,0,1.501887315214888e-07
94,-19,0,2.2414964421910644e-06
95,-18,0,2.2915760260357557e-05
96,-17,0,0.00017783523735227574
97,-16,0,0.0011115506077218455
98,-15,0,0.005738129811238608
99,-14,0,0.024758020533910102
100,-13,0,0.09001777451542764
101,-12,0,0.27742581450003084
102,-11,0,0.7279609318592299
103,-10,0,1.6336385541829828
104,-9,0,3.1530052477647295
105,-8,0,5.273722631680056
106,-7,0,7.725465583777694
107,-6,0,10.057117311440997
108,-5,0,11.85939305159365
109,-4,0,12.959778460944651
0,-3,2,13.440948827742595
1,-2,5,13.515194208141132
2,-1,9,13.391854040662245
3,0,7,13.2108028341008
4,1,10,13.032002175476823
5,2,13,12.863517660068688
6,3,10,12.71031516568608
7,4,12,12.605651716535355
8,5,14,12.596314840259703
9,6,10,12.69292517132725
10,7,14,12.82908388519031
11,8,15,12.876530824513436
12,9,14,12.72500956024418
13,10,10,12.377759766083841
14,11,12,11.993261829661199
15,12,12,11.838090414411486
16,13,12,12.167562555202194
17,14,12,13.089798597180655
18,15,20,14.482058339369592
19,16,13,16.0032521711314
20,17,9,17.198873777770856
21,18,12,17.66219261686292
22,19,11,17.19865973529553
23,20,12,15.917473427805161
24,21,11,14.18059693075386
25,22,14,12.424885499118293
26,23,20,10.976372481670007
27,24,15,9.976524996155307
28,25,25,9.430073759595912
29,26,13,9.281098139282232
30,27,13,9.432256525178849
31,28,10,9.718612378614536
32,29,16,9.911666631062165
33,30,14,9.791465686181642
34,31,6,9.245719632734309
35,32,8,8.326441132296036
36,33,12,7.229001589042267
37,34,8,6.208270941882436
38,35,11,5.475685306190568
39,36,8,5.124748939254682
40,37,15,5.113785159722079
41,38,9,5.300949143075411
42,39,8,5.502996981275526
43,40,5,5.553457713851163
44,41,6,5.348143884564356
45,42,5,4.8696232981721375
46,43,3,4.186720671581405
47,44,9,3.4291796572666047
48,45,4,2.7405365179207193
49,46,6,2.2282074494348496
50,47,5,1.939138154212241
51,48,7,1.8647838811067396
52,49,4,1.9549511341751367
53,50,5,2.1302745020247027
54,51,4,2.2974002742297284
55,52,1,2.3660217665699625
56,53,2,2.266526480985803
57,54,2,1.9748422497785734
58,55,2,1.537316196550218
59,56,4,1.0644606371418592
110,57,0,0.6802869346408931
60,58,1,0.4653439891068089
61,59,2,0.44023216493561984
62,60,8,0.5845646863709407
111,61,0,0.8518930049642667
63,62,2,1.170213929351282
112,63,0,1.4532553101565944
113,64,0,1.6322203766220684
114,65,0,1.6832156661796498
115,66,0,1.627341866430728
64,67,2,1.5098485168450282
65,68,1,1.3788179967538778
66,69,1,1.2724221011063805
67,70,2,1.211615369581738
68,71,1,1.1983123675129153
69,72,2,1.2241894206551918
70,73,2,1.2868353271287774
116,74,0,1.3999364415365898
71,75,2,1.5890058598348273
72,76,1,1.8756432285903022
73,77,1,2.2584528332745815
74,78,2,2.699127976145245
75,79,2,3.1223087410840713
117,80,0,3.4372099303781183
76,81,2,3.5778208076032687
77,82,2,3.5338986200694125
118,83,0,3.3433819268582567
78,84,3,3.0595215416187727
79,85,5,2.7305377346189537
80,86,3,2.3940100136638494
119,87,0,2.0654025834444263
81,88,5,1.7328998108177622
82,89,5,1.3819524584730105
83,90,4,1.0285573109933543
120,91,0,0.7184393789778684
121,92,0,0.4912151836365511
84,93,4,0.3512735919798512
85,94,5,0.27219325764072244
86,95,2,0.2203460625600006
87,96,1,0.17300841660325053
122,97,0,0.12335682454100245
88,98,1,0.07616883416634437
123,99,0,0.03928288377605548
124,100,0,0.01637761336692395
89,101,1,0.005325484078906574
125,102,0,0.001288862860452331
90,103,1,0.00021622064588146475
126,104,0,2.2162949615040257e-05
127,105,0,1.0504854829385792e-06
128,106,0,8.161514578809118e-09
