,times,counts,rates
89,-21,0,2.718414053333352e-09
90,-20,0,5.277473260249721e-08
91,-19,0,9.026229157642651e-07
92,-18,0,1.0551891246551608e-05
93,-17,0,9.256920321258652e-05
94,-16,0,0.0006439268145145077
95,-15,0,0.0036511513654836525
96,-14,0,0.017149228444594128
97,-13,0,0.06754429249989674
98,-12,0,0.2251682526185474
99,-11,0,0.6393193579715525
100,-10,0,1.552680202567217
101,-9,0,3.2382325399122713
102,-8,0,5.827510347739682
103,-7,0,9.108044630067528
104,-6,0,12.475359930403112
105,-5,0,15.167520857649576
106,-4,0,16.666200909587634
0,-3,2,16.95904104324215
1,-2,1,16.465505004666802
2,-1,13,15.72475715744199
3,0,7,15.103781293825893
4,1,19,14.696579378054587
5,2,15,14.408301039706407
6,3,16,14.102407760531563
7,4,8,13.687003531179368
8,5,15,13.11682872832058
9,6,17,12.383751691535869
10,7,15,11.546630309889068
11,8,14,10.756287184076958
12,9,14,10.209176754504286
13,10,12,10.045238921368004
14,11,17,10.273676844136805
15,12,14,10.7793578888441
16,13,15,11.388171091442057
17,14,7,11.942140231498561
18,15,12,12.350256489288615
19,16,10,12.590234458724739
20,17,9,12.65274372163766
21,18,9,12.478538664107614
22,19,14,11.981696504218787
23,20,18,11.170439866135686
24,21,7,10.230180520662657
25,22,6,9.442003264624095
26,23,10,8.998998567634418
27,24,22,8.89628006044376
28,25,15,8.97031143222307
29,26,10,9.01419924300981
30,27,8,8.868995914806856
31,28,8,8.455272779401259
32,29,8,7.7670122477517
33,30,13,6.863676601759087
34,31,9,5.865376399181739
35,32,6,4.9255523865291035
36,33,12,4.17982321763232
37,34,5,3.7086574603111133
38,35,14,3.537993088284349
39,36,6,3.6614949349327457
40,37,7,4.054390399485181
41,38,5,4.664816995591368
42,39,3,5.398155670087663
43,40,8,6.12634804452658
44,41,3,6.729009736243642
45,42,2,7.134484592574308
46,43,4,7.331979867591472
47,44,6,7.356696790686756
48,45,3,7.262790095838332
49,46,8,7.098407560727508
50,47,7,6.892161042329556
51,48,4,6.647613749462447
52,49,6,6.348920879789926
53,50,11,5.993429243042159
54,51,6,5.63059057557482
55,52,5,5.348110176900839
56,53,6,5.19234197712477
57,54,7,5.095182685321218
58,55,10,4.895191179727546
59,56,7,4.4574636170020465
60,57,7,3.7923590980457633
107,58,0,3.064547615086051
61,59,1,2.4880963090799595
62,60,10,2.2002629193398304
63,61,7,2.199556089537399
64,62,6,2.363339188754846
65,63,8,2.515349925983005
108,64,0,2.509478293552975
66,65,2,2.2963932314939615
67,66,1,1.9396990215863963
68,67,2,1.5729536049667545
69,68,3,1.3285448475859816
70,69,3,1.2833893088733799
71,70,2,1.4439484129612492
72,71,7,1.7613374772121457
73,72,1,2.1512100064110706
109,73,0,2.5042530758278154
110,74,0,2.7025510558084824
74,75,4,2.662151172876846
111,76,0,2.3823237403670214
75,77,1,1.9519740776198662
76,78,2,1.4978003056653872
77,79,2,1.1175405557637523
78,80,4,0.8479276806346511
79,81,2,0.6737764935439267
80,82,4,0.5553784909880424
81,83,2,0.4548911798140673
82,84,1,0.3523831159761353
83,85,1,0.24816400195640806
112,86,0,0.15426914163851035
84,87,2,0.08260617924681803
113,88,0,0.037200687285416395
85,89,1,0.013716618381570723
86,90,1,0.004004378329969119
114,91,0,0.0008833205990723602
87,92,1,0.000136831276958781
115,93,0,1.3051318088988242e-05
116,94,0,5.742488910067867e-07
117,95,0,4.0891306501204546e-09
