times,counts
-3,5
-2,4
-1,11
0,9
1,9
2,12
3,8
4,15
5,9
6,10
7,11
8,7
9,15
10,16
11,18
12,14
13,16
14,14
15,16
16,9
17,15
18,12
19,16
20,13
21,23
22,21
23,22
24,8
25,14
26,17
27,10
28,21
29,15
30,13
31,17
32,14
33,10
34,12
35,18
36,10
37,12
38,7
39,14
40,6
41,9
42,8
43,8
44,8
45,5
46,8
47,10
48,10
49,4
50,4
51,17
52,11
53,5
54,10
55,9
56,8
57,9
58,10
59,14
60,4
61,6
62,8
63,7
64,3
65,6
66,11
67,6
68,12
69,9
70,4
71,4
72,7
73,9
74,10
75,4
76,9
77,7
78,7
79,7
80,1
81,7
82,6
83,5
84,7
85,3
86,6
87,2
88,5
90,4
91,2
92,4
94,4
95,2
96,1
97,5
98,4
99,2
100,1
101,1
102,1
105,1
