times,counts
0,11
1,19
2,18
3,17
4,22
5,17
6,21
7,13
8,19
9,14
10,26
11,13
12,19
13,15
14,13
15,12
16,14
17,17
18,19
19,13
20,15
21,12
22,15
23,14
24,18
25,24
26,20
27,19
28,22
29,22
30,26
31,25
32,27
33,23
34,30
35,28
36,33
37,34
38,33
39,34
40,38
41,43
42,36
43,38
44,40
45,29
46,29
47,30
48,35
49,35
50,30
51,30
52,29
53,36
54,34
55,28
56,30
57,33
58,32
59,31
60,34
61,42
62,35
63,33
64,35
65,41
66,48
67,39
68,35
69,35
70,45
71,38
72,44
73,40
74,43
75,47
76,40
77,52
78,49
79,53
80,51
81,45
82,50
83,49
84,45
85,46
86,47
87,51
88,49
89,57
90,51
91,64
92,54
93,59
94,59
95,43
96,61
97,65
98,51
99,52
100,59
