times,counts
0,18
1,15
2,14
3,15
4,20
5,18
6,19
7,21
8,25
9,24
10,17
11,26
12,16
13,21
14,24
15,21
16,24
17,21
18,20
19,17
20,24
21,22
22,22
23,15
24,26
25,22
26,20
27,17
28,25
29,22
30,23
31,21
32,21
33,22
34,20
35,21
36,27
37,27
38,24
39,17
40,20
41,19
42,32
43,26
44,18
45,21
46,23
47,24
48,22
49,20
50,23
51,21
52,14
53,8
54,17
55,14
56,21
57,20
58,28
59,24
60,16
61,22
62,25
63,22
64,16
65,19
66,19
67,19
68,18
69,27
70,21
71,23
72,17
73,20
74,38
75,25
76,23
77,28
78,16
79,22
80,17
81,23
82,19
83,25
84,22
85,16
86,22
87,18
88,19
89,20
90,15
91,19
92,10
93,19
94,11
95,11
96,17
97,17
98,19
99,21
100,24
