times,counts
-3,1
-2,5
-1,10
0,12
1,5
2,12
3,10
4,10
5,9
6,15
7,12
8,15
9,9
10,14
11,13
12,18
13,9
14,11
15,11
16,9
17,12
18,13
19,10
20,9
21,12
22,15
23,8
24,9
25,17
26,11
27,11
28,8
29,7
30,10
31,9
32,9
33,4
34,7
35,10
36,7
37,6
38,4
39,8
40,7
41,8
42,7
43,8
44,11
45,7
46,5
47,5
48,5
49,5
50,9
51,7
52,6
53,12
54,6
55,4
56,9
57,8
58,18
59,5
60,9
61,7
62,13
63,13
64,10
65,3
66,11
67,6
68,3
69,5
70,3
71,2
72,5
73,2
74,2
75,1
76,1
77,5
78,3
79,1
80,2
81,6
84,1
86,1
87,3
88,1
89,2
90,1
91,3
92,4
93,1
94,4
95,2
96,3
97,5
98,2
99,1
100,1
