times,counts
0,14
1,14
2,24
3,17
4,15
5,17
6,13
7,14
8,14
9,20
10,23
11,18
12,16
13,16
14,17
15,11
16,16
17,22
18,19
19,18
20,17
21,18
22,9
23,19
24,18
25,10
26,16
27,16
28,15
29,14
30,14
31,14
32,8
33,15
34,9
35,13
36,14
37,18
38,6
39,17
40,3
41,9
42,17
43,14
44,12
45,11
46,10
47,10
48,12
49,7
50,11
51,8
52,8
53,5
54,8
55,9
56,7
57,3
58,6
59,2
60,3
61,2
62,6
63,5
64,2
65,3
66,5
67,3
68,4
69,2
70,5
71,4
72,5
73,4
74,2
75,2
76,2
77,5
78,8
79,2
80,2
81,6
82,3
83,6
84,5
85,2
86,6
87,3
88,4
89,5
90,4
91,2
92,2
93,1
97,1
98,1
99,2
100,2
